epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,80.4462,3.86527,15.4248,0.81289,0.13224,0.07692,0.02674,0.0048,3.94029,5.60256,0.82387,0.0006932,0.0006932,0.0006932
35,82.7645,3.44303,12.6679,0.76514,0.19308,0.02564,0.02303,0.00475,3.75983,5.76374,0.81363,0.0006536,0.0006536,0.0006536
36,85.045,2.9459,12.6193,0.76146,0.12186,0.02564,0.00426,0.00043,3.72317,9.52961,0.75148,0.000614,0.000614,0.000614
37,87.3132,3.31125,10.3179,0.88895,0.04008,0.02564,0.00154,0.00015,4.00641,16.5771,0.77764,0.0005744,0.0005744,0.0005744
38,89.5648,3.68496,10.5432,0.81886,0.31937,0.02564,0.01259,0.00252,3.99758,7.09923,0.76153,0.0005348,0.0005348,0.0005348
39,91.7963,3.07589,8.81125,0.8218,0.28156,0.07692,0.059,0.01489,3.57404,4.47585,0.81666,0.0004952,0.0004952,0.0004952
40,94.0389,3.07705,13.5935,0.74175,0.50312,0.12821,0.12842,0.04433,3.34517,4.20117,0.80157,0.0004556,0.0004556,0.0004556
41,125.06,3.27487,13.0625,0.85474,0.48371,0.12821,0.11354,0.02017,3.33175,4.53969,0.80087,0.000416,0.000416,0.000416
42,127.437,3.47377,10.3193,0.84717,0.27439,0.10256,0.09088,0.01595,3.50353,4.60119,0.80653,0.0003764,0.0003764,0.0003764
43,129.643,3.00893,9.1949,0.8162,0.32885,0.12821,0.11156,0.01325,3.58767,4.63735,0.80771,0.0003368,0.0003368,0.0003368
44,131.863,2.95247,13.5475,0.78987,0.41944,0.15385,0.11456,0.01567,3.53552,4.70815,0.80045,0.0002972,0.0002972,0.0002972
45,134.092,2.97168,11.9848,0.7912,0.37519,0.10256,0.07892,0.01052,3.64113,4.80637,0.80177,0.0002576,0.0002576,0.0002576
46,136.266,3.20187,12.46,0.77972,0.31976,0.10256,0.07656,0.01137,3.65446,4.86168,0.80244,0.000218,0.000218,0.000218
47,138.671,2.67487,11.7377,0.7338,0.27668,0.10256,0.07525,0.01097,3.67415,4.90015,0.80395,0.0001784,0.0001784,0.0001784
48,141.064,2.68007,11.8573,0.72148,0.31928,0.10256,0.07137,0.01011,3.74539,4.98613,0.80511,0.0001388,0.0001388,0.0001388
49,143.284,3.3706,12.4046,0.84049,0.31764,0.10256,0.05461,0.00655,3.76534,4.99218,0.80792,9.92e-05,9.92e-05,9.92e-05
50,145.557,2.77179,10.8719,0.7631,0.31574,0.10256,0.05952,0.00708,3.74343,4.92463,0.8081,5.96e-05,5.96e-05,5.96e-05
