epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.13374,0.75471,116.361,0.19018,0,0,0,0,2.55388,41.2127,0.50996,0.00016,0.00016,0.00016
2,6.47051,1.21717,107.041,0.34211,0,0,0,0,2.13788,69.6328,0.42811,0.000333268,0.000333268,0.000333268
3,8.68526,2.1144,97.7258,0.51953,0,0,0,0,4.40286,43.6627,0.85287,0.000499408,0.000499408,0.000499408
4,10.9218,3.00627,80.8645,0.82063,0,0,0,0,4.11904,30.2073,0.80217,0.00065842,0.00065842,0.00065842
5,13.1729,4.01022,62.6905,0.92983,0,0,0,0,3.27347,57.1163,0.61125,0.000810304,0.000810304,0.000810304
6,15.4343,3.40032,53.9251,0.72608,0,0,0,0,2.63747,34.2694,0.54538,0.00095506,0.00095506,0.00095506
7,17.7954,3.78558,52.9926,0.85292,0,0,0,0,4.12087,16.1066,0.79036,0.00109269,0.00109269,0.00109269
8,20.1178,3.96218,58.9637,0.84159,0,0,0,0,4.09091,12.4215,0.74845,0.00122319,0.00122319,0.00122319
9,22.5089,3.58604,52.2319,0.85192,0,0,0,0,3.57615,12.1298,0.68097,0.00134656,0.00134656,0.00134656
10,24.7832,3.7415,46.5269,0.77348,0,0,0,0,3.3866,9.63973,0.67836,0.0014628,0.0014628,0.0014628
11,27.0692,3.86177,48.2512,0.84907,0,0,0,0,3.40247,9.42731,0.65176,0.00157192,0.00157192,0.00157192
12,29.3723,3.8201,41.0429,0.85744,0,0,0,0,3.40292,12.5648,0.6111,0.0015644,0.0015644,0.0015644
13,31.715,4.16289,30.3873,0.90281,0,0,0,0,3.79272,11.6239,0.66776,0.0015248,0.0015248,0.0015248
14,34.0371,4.11058,35.2966,0.86208,0,0,0,0,4.39642,9.82136,0.78414,0.0014852,0.0014852,0.0014852
15,36.3738,4.20209,33.7768,0.87369,0,0,0,0,4.48406,11.9178,0.82146,0.0014456,0.0014456,0.0014456
16,38.6669,4.24901,29.0814,0.84104,0.16021,0.02564,0.0123,0.00173,4.3897,6.91118,0.85926,0.001406,0.001406,0.001406
17,40.9429,3.95916,27.8102,0.8873,0.27057,0.02564,0.00843,0.00587,4.35973,6.88054,0.84634,0.0013664,0.0013664,0.0013664
18,43.3056,3.30865,23.4215,0.7746,0.00017,0.05128,0.0001,2e-05,4.43399,6.68194,0.86546,0.0013268,0.0013268,0.0013268
19,45.6153,3.66993,26.4777,0.77942,0,0,0,0,4.72239,7.17242,0.88826,0.0012872,0.0012872,0.0012872
20,47.9582,4.1422,22.507,0.92232,0.00042,0.07692,0.00024,4e-05,4.3857,6.52458,0.83471,0.0012476,0.0012476,0.0012476
21,50.2525,4.2687,22.6521,0.89096,0.00047,0.07692,0.00026,0.0001,4.18539,6.42205,0.86601,0.001208,0.001208,0.001208
22,52.5469,3.1914,24.9484,0.74718,0.00052,0.07692,0.00174,0.0002,3.95764,6.02009,0.84167,0.0011684,0.0011684,0.0011684
23,54.8828,3.42739,19.7845,0.85945,0.00054,0.07692,0.00943,0.00283,3.55906,5.66931,0.81951,0.0011288,0.0011288,0.0011288
24,57.187,3.65056,18.389,0.83672,0.06741,0.02564,0.00581,0.00283,3.57438,5.61448,0.81161,0.0010892,0.0010892,0.0010892
25,59.4541,3.89683,16.55,0.83696,0.07203,0.02564,0.00632,0.00219,3.82684,5.78385,0.81465,0.0010496,0.0010496,0.0010496
26,61.8722,3.58351,17.0437,0.88866,0.17008,0.05128,0.0104,0.00128,3.9441,5.80053,0.82136,0.00101,0.00101,0.00101
27,64.1308,3.68799,13.9341,0.87765,0.08635,0.02564,0.00385,0.00039,3.93546,5.67638,0.82355,0.0009704,0.0009704,0.0009704
28,66.4623,3.8067,13.2013,0.86063,0.0916,0.05128,0.00873,0.00284,3.31668,5.18587,0.79773,0.0009308,0.0009308,0.0009308
29,68.7729,3.55701,11.6792,0.85676,0.24982,0.10256,0.04481,0.01121,3.44561,5.12192,0.79848,0.0008912,0.0008912,0.0008912
30,71.1066,3.52367,13.3046,0.81728,0.40107,0.12821,0.0587,0.01145,3.36415,5.11936,0.79755,0.0008516,0.0008516,0.0008516
31,73.4583,3.4705,11.647,0.81015,0.2379,0.07692,0.03316,0.00553,3.52384,5.2779,0.80369,0.000812,0.000812,0.000812
32,75.7831,3.28742,9.0716,0.82833,0.08126,0.02564,0.00567,0.00147,4.16336,5.64806,0.84219,0.0007724,0.0007724,0.0007724
33,78.0827,3.42774,12.3864,0.86014,0.12707,0.05128,0.01773,0.00278,4.09748,5.53828,0.83581,0.0007328,0.0007328,0.0007328
